	mean
ATP11B	2.233898643677457
LAMC2	0.40431760120505994
CDK14	1.5879797714625123
SEC61A1	1.788828187764015
PPP1R12A	1.2695063757827028
CAMK2B	0.5330438856936478
CROCC	1.109232066301596
POLR3E	-1.09037459183745
ATP2B4	4.003689222486349
ZC3H11A	1.1132566298239066
RIOK2	1.3868522324401096
YIPF1	0.01315939619824181
NDC1	-0.07571816556248849
DGKG	-2.4884754336661947
FLYWCH1	-1.1431544198040227
UNKL	-0.7575099435804422
PARP12	0.7634126595331656
ALDH18A1	1.2820777415445554
TARBP1	0.840842364117043
GATB	-0.45900617823298906
MXD1	-0.8268914183754472
CDK17	-0.9539818039472812
DNAJC25	-2.4318801278439595
PSD	-0.635992912391486
CTDP1	1.0095416506482155
YBX3	-3.4595153563813197
WNK1	2.3166047846247637
RPS17P5	-0.369502769080214
CCAR1	0.1983308283930492
OGFR	0.3684533060323864
GNA15	-1.2608789022111295
PIGV	-0.8030542019701405
PTPRU	1.2745288223740903
SNRNP40	0.8797887190880714
RIMBP2	2.525608898344309
QSER1	2.5252792305443306
MPC1	-0.7356173578801527
ACAA1	0.10774854304046833
BCAT1	-2.5243283854347056
HDAC7	-0.045424322673318515
LZTS1	2.5158681529846585
PRDM6	-2.8421167135065932
NCKAP1	0.310186908089537
MRPS35	1.6230496633817515
SFSWAP	0.20677884075303452
TNK2	2.0057003140325267
MON2	0.8030728223168435
CDH3	-0.6774996349194514
GPBP1	0.6854567388381254
DGAT2	0.24021744563263311
ZNF112	0.9149637610799731
CS	3.1546868229315637
LTK	-2.2044086426394336
ELMO2	2.626488339321363
VMP1	0.9094442508972487
APPBP2	0.6260001620414339
POLD1	0.8864314096218375
SEZ6	2.410818514946544
EIF4B	1.7506032839588324
SLC6A16	-3.3645258066878396
SPHK2	-1.0316749443464648
RPL18	3.753162912510646
CA11	-0.5243301743799929
ISOC2	1.646929985086721
U2AF2	1.4355501539253284
EPN1	3.368433486315403
MED29	0.8050782609225101
AHRR	-1.5015360282254075
ZNF275	1.173023113191152
MTMR1	0.17613966693121463
GPC1	2.17492629439156
ADCK1	-0.06794304505577718
HAGH	-0.25497434362096344
RNF4	0.18478413979684705
CASP8	-0.08651285798986603
LIMCH1	-1.1990913416452293
TM7SF3	1.4464990152648265
DLX3	-0.7704292070485688
SPA17	-1.1074551151183947
ST3GAL6	-3.1620094661260154
ATP2C2	-3.758502653749686
NGFR	-2.0353901843336186
CDON	0.2084050380015331
TAF2	2.868744990222513
HIPK2	2.3413097297612184
TNPO3	1.1788882658149773
RFXANK	-1.0775632618573798
TMEM161A	0.7333381628711869
LPAR2	1.0574839095158033
CTSA	1.48017965245505
SUGP2	1.6547803020222793
SLC12A2	0.3341502803216283
SNX24	-0.31943205200119823
EYA2	2.7978393627196514
CNN2	-3.6492318962821386
ABCA7	1.2032266744647289
SNCAIP	1.9901150944546235
DDX20	0.6797296604419126
BTBD1	1.6015367208897886
FAR2	-2.4627636854640618
SBNO2	0.3314492180508651
PMS1	0.9308302177661417
HMG20B	1.1352658855979905
TAF11	0.29435616353654015
ANKS1A	2.713334468582773
AP3D1	1.8164591228557887
ZNF76	1.618473312307582
NTHL1	-0.6233680895715127
GNAI3	0.8811555062725255
IPO5	1.8082777222858255
OAT	0.6260288452882732
WDR3	1.6527453381148856
PKN2	2.885339036949362
WDR18	-0.6240218955969301
TRAM2	1.3431867990861928
NTN1	-1.4979215103607184
MCM10	1.2056943758028364
DGKA	-1.4177686486625656
ERBB3	0.9837909721297579
ANKRD44	-1.4421754804769127
ADAT1	-1.311216649505203
PDIA5	0.7099046081447544
TBC1D22B	1.0930520628899103
NDUFB4	1.3973755607771423
SPEN	0.9594002317047036
MYLK	0.5345802703774196
ZC3H15	0.5503564161199436
MAP2K4	-0.2728502113954683
SNAP91	-1.1938859785666625
SLK	1.7422834169852395
CYB5R4	1.825512113766424
GSTO2	-1.7750847342884453
SEC61A2	-0.9053745023054642
TLE2	3.019690997186595
ASB1	-0.49285343667614834
FAM107B	3.058527388274206
ME1	-2.816850324695828
TBC1D1	-0.3834377015427059
CDK13	0.24195755762159865
MTHFD2	1.7168769444230283
SLC9A7	0.27502865165423895
FOXJ2	1.3503666848696536
YBX1	1.453934396108248
PPP2R5A	1.050653964305385
CTNNA2	-3.4760173842800026
ELAVL1	1.5673705007550334
DIP2B	1.0671085794626385
SMARCD1	1.7676757404725176
KDM4A	1.9390110360476935
NFYC	-1.454387559961641
SLC9A3	-3.0412196826462496
NGEF	-4.9784016504831134
